,Unidade da Federação,2018,iso_code,estimated_population,pib_per_capita
6,Distrito Federal,254817205.0,DF,3055149.0,83.4058191597202
25,São Paulo,2210561949.0,SP,46289333.0,47.75532084249302
18,Rio de Janeiro,758859047.0,RJ,17366189.0,43.69750018268257
23,Santa Catarina,298227090.0,SC,7252502.0,41.12058018046738
22,Rio Grande do Sul,457293958.0,RS,11422973.0,40.03283190812059
12,Mato Grosso,137442853.0,MT,3526220.0,38.977390236570606
17,Paraná,440029403.0,PR,11516840.0,38.207477311484745
11,Mato Grosso do Sul,106969142.0,MS,2809394.0,38.0755216249483
7,Espírito Santo,137020055.0,ES,4064052.0,33.715133320144524
10,Minas Gerais,614875820.0,MG,21292666.0,28.87735241796401
8,Goiás,195681724.0,GO,7113540.0,27.508346617858336
20,Rondônia,44913978.0,RO,1796460.0,25.001379379446245
2,Amazonas,100109235.0,AM,4207714.0,23.79183447354074
26,Tocantins,35666183.0,TO,1590248.0,22.428063421554373
21,Roraima,13369988.0,RR,631181.0,21.18249440334864
3,Amapá,16795207.0,AP,861773.0,19.489131128499036
15,Pernambuco,186351975.0,PE,9616621.0,19.378113684629977
4,Bahia,286239541.0,BA,14930634.0,19.171291788413004
19,Rio Grande do Norte,66969562.0,RN,3534165.0,18.94918941249206
13,Pará,161349602.0,PA,8690745.0,18.565681308104196
24,Sergipe,42017981.0,SE,2318822.0,18.120399495950963
0,Acre,15331123.0,AC,894470.0,17.13989625141145
5,Ceará,155903825.0,CE,9187103.0,16.969857092056113
1,Alagoas,54413047.0,AL,3351543.0,16.23522270190178
14,Paraíba,64373595.0,PB,4039277.0,15.93691024408576
16,Piauí,50378418.0,PI,3281480.0,15.352346502188038
9,Maranhão,98179496.0,MA,7114598.0,13.799725016086644
